,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
141,2016-08-26,2TYqHBcyFerPMqLBLGL4q1,Kill Frenzy,https://p.scdn.co/mp3-preview/e7229d744e699f7ef88d32f7f02182ddcaa74d68?cid=142c36ced4ff4aa68d784c0db9923467,10wkdZ3er7gDAnI5BjCZfo,358270,Silo - Original Mix,6,0.000562,0.97,358270,0.669,0.889,1,0.0978,-7.762,1,0.0574,126.007,4,0.316
142,2006-05-08,5CYAFhywQTXdZmppCp0ukd,Claude VonStroke,https://p.scdn.co/mp3-preview/f9a9d49b16b7dc168e038bca4dd0118238fc72b8?cid=142c36ced4ff4aa68d784c0db9923467,1KiNEbmfe20LO0jitOp8Ao,364088,Who's Afraid Of Detroit? - Original Mix,36,0.00526,0.807,364089,0.74,0.86,1,0.0993,-8.729,1,0.0793,124.996,4,0.651
143,2016-02-26,6gssIbF04dCX3COZvyr0JF,Bruno Furlan,https://p.scdn.co/mp3-preview/27d3ac9e976347af6012f848a39422f5ba0c5165?cid=142c36ced4ff4aa68d784c0db9923467,73R2Fg6J4peU0n2y8Qrsby,343927,Marshmallows - Original Mix,28,0.00496,0.813,343928,0.606,0.896,9,0.0483,-9.329,1,0.0572,123.001,4,0.861
144,2015-12-28,6gssIbF04dCX3COZvyr0JF,Bruno Furlan,https://p.scdn.co/mp3-preview/2889b7f2700e791a232e2d7d9b99d72ee2b8f17a?cid=142c36ced4ff4aa68d784c0db9923467,2PDRbSgD8Tc7sPOY99RXcg,347317,Line Five - Original Mix,30,0.00862,0.811,347317,0.409,0.92,8,0.0903,-6.523,1,0.0679,122.985,4,0.2
145,2014-11-03,2TYqHBcyFerPMqLBLGL4q1,Kill Frenzy,https://p.scdn.co/mp3-preview/edca974ede06a2db46b2a5a3760ce53403d3ba77?cid=142c36ced4ff4aa68d784c0db9923467,2bY6J7raCWuUACZ9pPd5fY,409779,No Panties - Original Mix,25,0.000381,0.854,409779,0.569,0.686,6,0.0714,-10.238,0,0.0836,123.003,4,0.642
146,2009-10-21,4FN8WHqUbwkd97WEjoCu7B,Justin Martin,https://p.scdn.co/mp3-preview/8a07e1101a6968175fb6d630e5b180bfe6640584?cid=142c36ced4ff4aa68d784c0db9923467,1OolSAOadUdx7sQlNxt9q5,339160,Beat That Bird - Original Mix,21,0.000438,0.807,339160,0.741,0.851,1,0.0662,-9.015,1,0.0482,127.019,4,0.433
147,2016-03-11,6lf5XKHZHGXxHFPOKSkodA,Ciszak,https://p.scdn.co/mp3-preview/6400579a23ef59ebacb24d22f94625bbe519a426?cid=142c36ced4ff4aa68d784c0db9923467,1BgD58UXN5l0goUprKVudL,393870,I Want,42,0.000984,0.805,393871,0.527,0.816,2,0.0526,-7.379,1,0.0497,124.023,4,0.699
148,2016-05-27,5CYAFhywQTXdZmppCp0ukd,Claude VonStroke,https://p.scdn.co/mp3-preview/be7721413527b60b16ba82982eb2205cecf9f534?cid=142c36ced4ff4aa68d784c0db9923467,2T8jzKiggVXOONsUYxzFH7,397834,Who's Afraid of Detroit? - 10 Year Anniversary Mix,21,0.00497,0.82,397834,0.831,0.827,1,0.124,-6.909,1,0.0668,124.027,4,0.729
149,2006-05-08,5CYAFhywQTXdZmppCp0ukd,Claude VonStroke,https://p.scdn.co/mp3-preview/f4d16f32d40b709097d7725039fd57c16a0721fa?cid=142c36ced4ff4aa68d784c0db9923467,5Cjt8EvlnCPtdABEdXB99k,426893,Deep Throat - Original Mix,25,0.000261,0.815,426893,0.785,0.889,1,0.0849,-12.342,1,0.064,124.019,4,0.191
150,2014-03-17,5tYqFEuFELxnJZgGmmsfSh,Catz 'n Dogz,https://p.scdn.co/mp3-preview/154642e6dd1a94f945e9a958a9a7d9e4c85b0e24?cid=142c36ced4ff4aa68d784c0db9923467,0AUjGEFOKVbmIkS8cvQNJ6,380335,Booty Comes First - Original Mix,15,0.00964,0.834,380335,0.826,0.874,11,0.0583,-6.824,0,0.101,123.965,4,0.665
151,2015-07-24,1OmOdgwIzub8DYPxQYbbbi,Will Clarke,https://p.scdn.co/mp3-preview/9b0196171b69b82c18e2f5d3daa6caa5e974133d?cid=142c36ced4ff4aa68d784c0db9923467,3VrROG4GbnzbntPNyY2so6,396980,808 Frenzy - Original Mix,9,0.000119,0.809,396980,0.653,0.809,6,0.0835,-10.449,0,0.058,124.006,4,0.422
152,2016-10-07,2JDywqwipuZmF09NCMEO6X,Asadinho,https://p.scdn.co/mp3-preview/67e3551628a6b19a52c9200168cabc726be5661c?cid=142c36ced4ff4aa68d784c0db9923467,2rxFOHtc9J8akwtu2mbcgh,408999,Is That My Wig,4,0.00361,0.803,409000,0.733,0.897,9,0.0951,-8.969,1,0.0489,126.994,4,0.308
153,2016-07-29,1lAwVq9MxNJkB0dEY6xNoV,Walker & Royce,https://p.scdn.co/mp3-preview/a2199aabdf203daacf9a87a9a25f60141de46ef3?cid=142c36ced4ff4aa68d784c0db9923467,55oISV7iOyMsWnf3JZ0GuJ,324130,I.T.B. - Original Mix,24,0.042,0.796,324130,0.534,0.922,7,0.078,-6.885,1,0.119,125.01,4,0.324
154,2013-06-10,4FN8WHqUbwkd97WEjoCu7B,Justin Martin,https://p.scdn.co/mp3-preview/b29d38eb0680190614f592cafe51c427c0ab4edc?cid=142c36ced4ff4aa68d784c0db9923467,733z4tlVXt0ZiatQnzd3Ki,475480,The Gettup - Original Mix,25,0.0423,0.875,475481,0.617,0.0597,6,0.64,-6.842,1,0.0614,122.987,4,0.573
155,2009-10-07,5CYAFhywQTXdZmppCp0ukd,Claude VonStroke,https://p.scdn.co/mp3-preview/aadae81e52b0f22c67da7290d33152635c56e001?cid=142c36ced4ff4aa68d784c0db9923467,6IpIkafhudKF2HXXZ89Vqu,415266,Vocal Chords - Original Mix,10,0.00399,0.913,415267,0.568,0.681,9,0.094,-9.235,1,0.136,125.988,4,0.366
156,2015-12-28,7qWgPMbzC4NvHmLJCB2iMN,Genghis Clan,https://p.scdn.co/mp3-preview/eca055a54a4b1173025e951b0fe1328f661be609?cid=142c36ced4ff4aa68d784c0db9923467,4YepqCFPhfrdkXzm3fXOjZ,352577,Crave Me - Original Mix,9,0.0399,0.755,352577,0.492,0.681,2,0.0554,-7.587,1,0.0552,123.988,4,0.282
157,2015-03-16,7DtWVYd3zlN3l6PvfF5VuT,Escape,https://p.scdn.co/mp3-preview/38c55dbbf486e8d565f233a23e621db5df327f77?cid=142c36ced4ff4aa68d784c0db9923467,2dllcuIL9det0sjKnpRNok,372019,Just Escape - Justin Martin Remix,40,0.013,0.872,372019,0.776,0.119,11,0.155,-6.245,0,0.0701,120.001,4,0.789
158,2016-04-20,4FN8WHqUbwkd97WEjoCu7B,Justin Martin,https://p.scdn.co/mp3-preview/910cae48ab4c7323db9b5a3898e081532539184b?cid=142c36ced4ff4aa68d784c0db9923467,6N5DujmlLvjvW9p4yU12Jq,307572,Back To The Jungle - Original Mix,24,0.000559,0.796,307572,0.786,0.167,0,0.744,-9.654,1,0.0481,124.0,4,0.443
159,2016-10-28,4NxX9q7cLdH6JNDtApVPRU,Pezzner,https://p.scdn.co/mp3-preview/5671112fcbaeec6b7c7630558e76e87eacdf465b?cid=142c36ced4ff4aa68d784c0db9923467,5WBy3eUGeeojOj5zygq3U9,384851,The Hand That Feeds You,10,0.0183,0.805,384851,0.415,0.873,2,0.12,-10.418,1,0.0547,118.003,4,0.159
160,2014-11-03,2TYqHBcyFerPMqLBLGL4q1,Kill Frenzy,https://p.scdn.co/mp3-preview/98d392cf384fed527470520044bd8d89c6625910?cid=142c36ced4ff4aa68d784c0db9923467,7LUZtN5W1ooKTUWPcuh8Ui,292413,So Fine - Original Mix,19,0.000809,0.805,292413,0.481,0.324,8,0.156,-11.142,1,0.0617,125.0,4,0.244
161,2015-11-06,1OmOdgwIzub8DYPxQYbbbi,Will Clarke,https://p.scdn.co/mp3-preview/7bbe5bb6db4bafcbcadd871c6769707250a264af?cid=142c36ced4ff4aa68d784c0db9923467,1pY8wdgmOV3k8owLAaj3f7,328909,Can You Funk - Original Mix,32,0.000669,0.896,328909,0.85,0.904,11,0.0405,-6.122,1,0.0737,123.996,4,0.904
162,2015-12-28,2lrYf4KiHcMPOYGUGhrzgs,Sirus Hood,https://p.scdn.co/mp3-preview/31a9762657a9b9673476065a6448cd65a8868e9d?cid=142c36ced4ff4aa68d784c0db9923467,1cwIPgt0pKeraQhhCZ8L3X,315631,Paris To SF - Original Mix,16,0.00846,0.8,315631,0.619,0.0445,8,0.195,-7.435,1,0.0789,122.991,4,0.432
163,2015-05-18,5CYAFhywQTXdZmppCp0ukd,Claude VonStroke,https://p.scdn.co/mp3-preview/73a49c19d4f10cc4bf61141b3036f55e064a279a?cid=142c36ced4ff4aa68d784c0db9923467,7bFOkwjxOcGaw6ZULE58Mh,383953,Make A Cake - Original Mix,46,0.00117,0.826,383953,0.65,0.807,1,0.0439,-10.252,1,0.0579,123.993,4,0.402
164,2015-01-27,4FN8WHqUbwkd97WEjoCu7B,Justin Martin,https://p.scdn.co/mp3-preview/df0ba4219fcab6839b5fd6c7958b0fd0d8fdf126?cid=142c36ced4ff4aa68d784c0db9923467,46FZ3nLo2GX5hgazbl6Cbc,409793,Function - Original Mix,34,7e-05,0.854,409794,0.71,0.802,4,0.0885,-9.897,1,0.106,123.991,4,0.528
