,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
14,2005-06-13,3VRvi42U8SsiT4YKP5LNCB,Extrawelt,https://p.scdn.co/mp3-preview/8c4655964c518fe1df276e6ab28fa5e90b5c7732?cid=142c36ced4ff4aa68d784c0db9923467,2nwkIy9lScCEPga6dbQh5g,358853,Zu Fuss,36,0.0654,0.744,358853,0.57,2nwkIy9lScCEPga6dbQh5g,0.619,8,0.126,-12.194,1,0.487,133.896,3,0.38
15,2011-02-27,3ohd0JKCnX1hSO6VinMe7A,Black Rose,https://p.scdn.co/mp3-preview/fac06163b55d6b079d9b2158257c38f32c557ec5?cid=142c36ced4ff4aa68d784c0db9923467,3IHkQnPbUTSYIVyffHfyIt,475941,Anthem - Original,23,0.0379,0.854,475941,0.6,3IHkQnPbUTSYIVyffHfyIt,0.00332,2,0.111,-9.526,1,0.127,123.994,4,0.217
16,2012-07-12,0WSSKmoRbxqLf3MnXInQ2J,Max Cooper,https://p.scdn.co/mp3-preview/b92cd8cc92cfc77a7ca19584df9c10e88b6d14a5?cid=142c36ced4ff4aa68d784c0db9923467,6DnP1JfeC3N7mEPzEr3Kz9,403018,Ruptured,10,0.116,0.695,403019,0.711,6DnP1JfeC3N7mEPzEr3Kz9,0.854,2,0.146,-7.489,1,0.0512,125.006,4,0.134
17,2007-02-05,6JGLndnzrQrIFkd8NFha3C,Dusty Kid,https://p.scdn.co/mp3-preview/6d4b6fa8aec1e899b475e79b27c1506b01760293?cid=142c36ced4ff4aa68d784c0db9923467,70uEo5GLU8wvh1cnNKFBc9,409002,Cowboys,27,0.428,0.818,409003,0.595,70uEo5GLU8wvh1cnNKFBc9,0.815,0,0.101,-10.257,1,0.0509,125.979,4,0.0384
18,2010-09-23,5RPzPJCg4ER1LzQkorZ31p,Worakls,https://p.scdn.co/mp3-preview/19b8b3132254e8722ce2d072a37ff06f74941513?cid=142c36ced4ff4aa68d784c0db9923467,3MA6XtTJ7pEAWgJymWlyaZ,450015,Roadtrip (Original Mix) - Original Mix,31,0.0471,0.775,450016,0.609,3MA6XtTJ7pEAWgJymWlyaZ,0.862,5,0.0718,-8.605,0,0.114,127.993,4,0.385
19,2011-08-09,1j1jzA1X6Lr19bxTlBS8n9,Rich Vom Dorf,https://p.scdn.co/mp3-preview/a3721604a624476c4c877ca4c057dc3fa82afb5b?cid=142c36ced4ff4aa68d784c0db9923467,1IEiNvtjMOugfYa7G3c6mZ,375569,Wadenschwinger,20,0.0107,0.884,375570,0.529,1IEiNvtjMOugfYa7G3c6mZ,0.878,3,0.0985,-9.332,0,0.126,125.996,4,0.296
20,2012-09-17,3Dw9w3jnmr58ocgxiwITcq,Rone,https://p.scdn.co/mp3-preview/26e01acf0a39b0988a836e31ffb809f8298e627c?cid=142c36ced4ff4aa68d784c0db9923467,5jDkYee7McpYx3AKP5pMJL,206723,Parade (Radio Edit),26,0.0104,0.574,206724,0.655,5jDkYee7McpYx3AKP5pMJL,0.81,7,0.0482,-10.999,1,0.0386,120.028,4,0.184
21,2012-07-02,48aaubPa3RsbAp4uCPhoS7,Betoko,https://p.scdn.co/mp3-preview/756458fe5b261ac51f75a80b0b2a959a48d9b2e4?cid=142c36ced4ff4aa68d784c0db9923467,4C0PqltKur5SJW7uWI9eOl,488269,Raining Again,51,0.0311,0.81,488269,0.537,4C0PqltKur5SJW7uWI9eOl,0.745,5,0.19,-9.836,0,0.0456,120.009,4,0.663
22,2010-10-11,3iOvXCl6edW5Um0fXEBRXy,The xx,https://p.scdn.co/mp3-preview/739b1dd870f28cced70ce44779d25c19061489a9?cid=142c36ced4ff4aa68d784c0db9923467,0wneVxea7lv2PYkft6bKov,443363,Crystalised (Edu Imbernon Remix),40,0.00989,0.786,443363,0.751,0wneVxea7lv2PYkft6bKov,0.93,9,0.0627,-9.414,1,0.0495,122.992,4,0.827
23,2007-05-11,0zL8qPJDqlalLQ9HhtMY2C,Solomun & Stimming,https://p.scdn.co/mp3-preview/65ed2c990ad51fd33391b8385525cb805dec2bd6?cid=142c36ced4ff4aa68d784c0db9923467,6jvFK4v3oLMPfm6g030H0g,588979,Feuervogel,29,0.00622,0.799,588980,0.531,6jvFK4v3oLMPfm6g030H0g,0.875,5,0.104,-12.638,0,0.0553,124.002,4,0.14
