,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
14,2015-07-17,7CajNmpbOovFoOoasH2HaY,Calvin Harris,https://p.scdn.co/mp3-preview/cf1be40ee1b6e350bb6ae77f71f17cbbf63f45e7?cid=142c36ced4ff4aa68d784c0db9923467,22mek4IiqubGD9ctzxc69s,212640,How Deep Is Your Love,77,0.0389,0.738,212640,0.868,22mek4IiqubGD9ctzxc69s,0.00171,11,0.388,-4.373,0,0.0731,122.003,4,0.336
15,2015-07-17,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,https://p.scdn.co/mp3-preview/555ff33c5d66e84d167257e42fc47194b5a71256?cid=142c36ced4ff4aa68d784c0db9923467,1x5M7e748IC3LOejjvdOia,210793,Waterbed,47,0.00137,0.606,210794,0.873,1x5M7e748IC3LOejjvdOia,0.00188,11,0.356,-7.07,1,0.0305,105.012,4,0.158
16,2015-07-17,6C0KWmCdqrLU2LzzWBPbOy,Headhunterz,https://p.scdn.co/mp3-preview/11de96c169146b649cba1b4bf015815723f7c46b?cid=142c36ced4ff4aa68d784c0db9923467,2r3cfYuRjJ2dAZclkAhfLj,263437,To Be Me (feat. Raphaella) - Shilo Edit,34,0.0484,0.7,263438,0.855,2r3cfYuRjJ2dAZclkAhfLj,0.000239,7,0.237,-5.859,1,0.0721,128.038,4,0.506
17,2015-07-13,521qvhdobR0GzhvU6TFw76,Tritonal,https://p.scdn.co/mp3-preview/8c6f7adc355078d0afaf1511581e2b37bf7581f5?cid=142c36ced4ff4aa68d784c0db9923467,7G9yFIOa2qrc6KBN9AtNnd,251484,GAMMA GAMMA,32,0.0132,0.482,251484,0.966,7G9yFIOa2qrc6KBN9AtNnd,0.443,6,0.518,-1.971,0,0.1,127.984,4,0.295
18,2015-07-20,03MVmfitJTVJIxYmObhQn9,Dyro,https://p.scdn.co/mp3-preview/f58b166f159e9790749952ea12bc7827bf9fd926?cid=142c36ced4ff4aa68d784c0db9923467,0EvOIuRs8HeyHAgLbWGLqk,208515,Bittersweet - Radio Edit,28,0.0015,0.435,208515,0.855,0EvOIuRs8HeyHAgLbWGLqk,0.00122,9,0.211,-4.127,0,0.0602,128.058,4,0.279
19,2015-07-20,0tRKhBxSJk5ynXtsbKw3SB,Suspect 44,https://p.scdn.co/mp3-preview/4867d319205f0d56ac5a9b172b8a5c6b84a58915?cid=142c36ced4ff4aa68d784c0db9923467,2Z6KB75kOBk4iQRZrhSJH0,225139,Here Right Now - Radio Edit,29,0.00266,0.478,225139,0.722,2Z6KB75kOBk4iQRZrhSJH0,0.00831,2,0.114,-6.893,1,0.0458,127.977,4,0.287
20,2015-07-24,6TQj5BFPooTa08A7pk8AQ1,Kaskade,https://p.scdn.co/mp3-preview/aeb24b86b74802ea2cb5466c0fc80e70345bd46a?cid=142c36ced4ff4aa68d784c0db9923467,21XpjBYEwH08XtLazsJ5wf,221133,Disarm You (feat. Ilsey),46,0.0434,0.446,221133,0.793,21XpjBYEwH08XtLazsJ5wf,4.14e-05,5,0.159,-3.912,0,0.0556,127.799,4,0.313
21,2015-07-22,2J80qXI4NHKpq5RT3xUF7V,Third Party,https://p.scdn.co/mp3-preview/a12dcabcbcca1af13306908416399dc192644ad4?cid=142c36ced4ff4aa68d784c0db9923467,30CgtHELtxZrUw1AWdJn14,223464,Arrival - Radio Edit,9,0.000247,0.527,223465,0.977,30CgtHELtxZrUw1AWdJn14,0.86,1,0.277,-6.052,1,0.0544,127.002,4,0.35
22,2015-07-27,1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,https://p.scdn.co/mp3-preview/143a44ed3c8e5d27c2f1acc40bb3ffdf1ddb9f68?cid=142c36ced4ff4aa68d784c0db9923467,4MbaEL7NffflUu18ejh2ne,335558,Believe - Original Mix,28,0.000373,0.611,335559,0.881,4MbaEL7NffflUu18ejh2ne,0.00485,6,0.118,-3.649,1,0.0422,128.014,4,0.454
23,2015-07-24,0daugAjUgbJSqdlyYNwIbT,Vicetone,https://p.scdn.co/mp3-preview/b6f5d085d6c6ddebca56546416cf17777147c970?cid=142c36ced4ff4aa68d784c0db9923467,764x3vyLkBBW8jvfMDoSGu,251250,Angels (feat. Kat Nestel) - M35 Remix,39,0.00213,0.59,251250,0.942,764x3vyLkBBW8jvfMDoSGu,0.0902,9,0.648,-5.953,1,0.127,127.957,4,0.495
